manufacturer,model,year,price,hand,fuel,engine_liters,horsepower,transmission,mileage
Ford,Focus,2012,13500,2,gasoline,1.6,125.0,robotic,194000
Ford,Mustang,2009,80000,4,gasoline,4.0,210.0,automatic,150000
Ford,Focus,2012,20000,3,gasoline,1.6,125.0,robotic,139000
Ford,Kuga,2017,45000,2,gasoline,1.5,182.0,automatic,177000
Ford,Focus,2011,10000,2,gasoline,1.6,125.0,robotic,189964
Ford,Mondeo,2013,15900,3,gasoline,2.0,200.0,robotic,203900
Ford,Edge,2011,45000,2,gasoline,3.5,285.0,automatic,160000
Ford,Focus,2009,8500,1,gasoline,1.6,100.0,automatic,190000
Ford,S Max,2014,23100,4,gasoline,2.0,203.0,robotic,228000
Ford,Focus,2008,9500,3,gasoline,1.6,100.0,automatic,195000
Ford,Focus,2016,32000,3,gasoline,1.5,150.0,automatic,180000
Ford,F 350,2017,100000,1,diesel,6.7,440.0,automatic,230000
Ford,Edge,2018,120000,2,gasoline,3.5,285.0,automatic,107000
Ford,Edge,2019,120000,1,gasoline,2.0,245.0,automatic,100000
Ford,Mustang,2022,265000,1,gasoline,2.3,310.0,automatic,7000
Ford,Edge,2017,99000,2,gasoline,3.5,285.0,automatic,93124
Ford,Kuga,2017,43000,3,gasoline,1.5,182.0,automatic,186000
Ford,Mondeo,2008,6000,4,gasoline,2.3,161.0,automatic,150000
Ford,Kuga,2018,51000,2,gasoline,1.5,182.0,automatic,152000
Ford,Focus,2012,17000,1,gasoline,2.0,170.0,robotic,176000
Ford,Focus,2014,11000,3,gasoline,1.6,125.0,robotic,237000
Ford,Focus,2006,7000,3,gasoline,1.6,100.0,automatic,197100
Ford,Fiesta,2013,14970,3,gasoline,1.6,105.0,robotic,185000
Ford,Mustang,2020,205000,3,gasoline,2.3,330.0,automatic,80000
Ford,Focus,2013,13000,4,gasoline,1.6,125.0,robotic,200000
Ford,Focus,2013,13500,4,gasoline,1.6,125.0,robotic,226020
Ford,Fiesta,2012,9500,3,gasoline,1.2,82.0,manual,165000
Ford,Edge,2016,68100,1,gasoline,2.0,245.0,automatic,193000
Ford,Fiesta,2014,13100,2,gasoline,1.6,105.0,robotic,230000
Ford,Mustang,2023,340000,1,gasoline,3.7,305.0,automatic,15000
Ford,Focus,2011,12000,2,gasoline,1.6,100.0,automatic,130000
Ford,Focus,2007,8200,3,gasoline,1.6,100.0,automatic,290000
Ford,Explorer,2013,70000,4,gasoline,3.5,290.0,automatic,190000
Ford,Mondeo,2010,11000,3,gasoline,2.3,161.0,automatic,240000
Ford,Fiesta,2009,10500,3,gasoline,1.4,96.0,automatic,182000
Ford,Focus,2011,16000,3,gasoline,1.6,125.0,robotic,180000
Ford,Focus,2012,14000,3,gasoline,1.6,125.0,robotic,199000
Ford,Focus,2013,17200,2,gasoline,2.0,170.0,robotic,159000
Ford,Explorer,2017,120000,1,gasoline,3.5,290.0,automatic,179269
Ford,Explorer,2016,105000,2,gasoline,3.5,290.0,automatic,119000
Ford,Focus,2016,35500,2,gasoline,1.5,150.0,automatic,170000
Ford,Kuga,2019,72500,1,gasoline,1.5,175.0,automatic,60000
Ford,Galaxy,2009,5000,3,gasoline,2.3,161.0,automatic,243000
Ford,Focus,2016,19500,2,gasoline,1.5,150.0,automatic,240000
Ford,Mustang,2016,159900,1,gasoline,2.3,309.0,manual,99000
Ford,Fiesta,2010,11000,3,gasoline,1.4,96.0,automatic,166000
Ford,Explorer,2016,79900,3,gasoline,3.5,290.0,automatic,130000
Ford,Fiesta,2013,22000,1,gasoline,1.6,105.0,robotic,140000
Ford,Focus,2013,4000,3,gasoline,1.6,125.0,robotic,340000
Ford,Focus,2006,4000,3,gasoline,1.6,100.0,automatic,210000
Ford,Focus,2003,20000,2,gasoline,1.6,102.0,automatic,200000
Ford,Focus,2013,11500,4,gasoline,1.6,125.0,robotic,251000
Ford,Focus,2013,7000,3,gasoline,1.6,125.0,robotic,148000
Ford,Edge,2017,86000,2,gasoline,2.0,245.0,automatic,113000
Ford,Focus,2013,10000,2,gasoline,1.6,125.0,robotic,225000
Ford,Mustang,2019,175000,3,gasoline,2.3,310.0,automatic,90000
Ford,Mustang,2018,165000,2,gasoline,2.3,310.0,automatic,80000
Ford,F 350,2016,70000,1,diesel,6.7,440.0,automatic,198000
Ford,Focus,2008,11111,3,gasoline,1.6,100.0,automatic,293000
Ford,Focus,2016,23000,2,gasoline,1.5,150.0,automatic,212000
Ford,Galaxy,2011,17000,2,gasoline,2.3,161.0,automatic,159000
Ford,Fiesta,2009,7000,3,gasoline,1.4,96.0,automatic,190000
Ford,Focus,2006,5800,3,gasoline,1.6,100.0,automatic,179000
Ford,Focus,2010,7500,2,gasoline,1.6,100.0,automatic,330000
Ford,Edge,2009,27000,2,gasoline,3.5,265.0,automatic,70000
Ford,Focus,2008,8000,1,gasoline,1.6,100.0,automatic,153000
Ford,Focus,2013,19000,3,gasoline,1.6,125.0,robotic,207000
Ford,Puma,2021,82800,1,gasoline,1.0,125.0,robotic,42000
Ford,Focus,2022,93000,1,gasoline,1.5,182.0,automatic,11500
Ford,Explorer,2012,62000,2,gasoline,3.5,290.0,automatic,260000
Ford,Mondeo,2011,17500,4,gasoline,2.0,240.0,robotic,150200
Ford,Explorer,2014,81000,2,gasoline,3.5,290.0,automatic,160000
Ford,Focus,2017,32000,2,gasoline,1.5,150.0,automatic,142000
Ford,Kuga,2013,28000,3,gasoline,1.5,182.0,automatic,133000
Ford,Focus,2007,5000,3,gasoline,1.6,100.0,automatic,214000
Ford,Focus,2013,10000,2,gasoline,1.6,125.0,robotic,185000
Ford,Focus,2013,11000,2,gasoline,1.6,125.0,robotic,230000
Ford,Focus,2008,7000,3,gasoline,1.6,100.0,automatic,290000
